,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,date,average_temp,trip_length_minutes,daily_ride_count,month,season
7290181,E671EF7F059B8C00,classic_bike,2022-12-17 07:50:52.073,2022-12-17 07:53:38.751,14 St & 7 Ave,3731.11,6 Ave & 9 St,3803.09,40.663779,-73.98396846,40.668127,-73.98377641,member,2022-12-17,5.0,2.7779666666666665,14848,12,winter
7305029,8EA3CD0D3B5D1856,electric_bike,2022-12-18 11:10:19.297,2022-12-18 11:19:43.843,Wythe Ave & Metropolitan Ave,5348.02,Emerson Pl & Myrtle Ave,4683.02,40.716887,-73.963198,40.69363137,-73.96223558,member,2022-12-18,3.1,9.4091,12086,12,winter
7317115,EA488EC8174C2724,classic_bike,2022-12-19 12:33:20.327,2022-12-19 12:39:25.744,W 82 St & Central Park West,7304.08,Amsterdam Ave & W 79 St,7311.02,40.78275,-73.97137,40.7829391,-73.9786517,member,2022-12-19,1.7,6.090283333333333,13353,12,winter
7330468,A7AB80AC2451FFC5,electric_bike,2022-12-20 08:18:34.888,2022-12-20 08:59:19.884,Wythe Ave & Metropolitan Ave,5348.02,Jay St & Tech Pl,4710.06,40.716887,-73.963198,40.695065,-73.987167,member,2022-12-20,1.9,40.74993333333334,14457,12,winter
7344925,CB2EA79360AB35E4,classic_bike,2022-12-21 07:27:50.391,2022-12-21 07:29:41.174,Clinton St & Grand St,5303.06,Grand St & Samuel Dickstein Plaza,5335.07,40.71559509,-73.9870295,40.71511871996496,-73.98417055606842,member,2022-12-21,1.0,1.8463833333333333,14845,12,winter
7359770,8598302249DEC7F3,electric_bike,2022-12-22 13:39:25.777,2022-12-22 13:46:44.300,Convent Ave & W 135 St,7860.08,W 110 St & Amsterdam Ave,7646.04,40.818215,-73.950988,40.802692,-73.96295,member,2022-12-22,3.8,7.308716666666667,9703,12,winter
7369473,1304395F2F062379,electric_bike,2022-12-23 15:56:32.116,2022-12-23 16:44:22.877,University Pl & E 14 St,5905.14,10 Ave & W 28 St,6459.04,40.734814,-73.992085,40.75066386,-74.00176802,member,2022-12-23,7.5,47.846016666666664,6384,12,winter
7375857,03C45356133247EF,electric_bike,2022-12-24 08:26:34.468,2022-12-24 08:29:51.971,Flushing Ave & Vanderbilt Ave,4762.05,Sands St Gate,4812.04,40.69795031569544,-73.97077560424805,40.699569,-73.979827,member,2022-12-24,-11.7,3.2917166666666664,2872,12,winter
7378729,D8E24BFBB1FA4115,electric_bike,2022-12-25 13:31:15.215,2022-12-25 13:37:11.344,W 100 St & Manhattan Ave,7538.14,Amsterdam Ave & W 119 St,7727.07,40.795,-73.9645,40.80863217506367,-73.95958609887202,member,2022-12-25,-6.9,5.935483333333334,2237,12,winter
7380966,FA7952E7123625C4,electric_bike,2022-12-26 15:05:40.676,2022-12-26 15:16:15.246,North Moore St & Greenwich St,5470.12,9 Ave & W 18 St,6190.08,40.72019521437465,-74.0103006362915,40.74317449,-74.00366443,member,2022-12-26,-4.7,10.576166666666667,4757,12,winter
7385723,EC385C4DBCA5BD26,electric_bike,2022-12-27 20:46:27.003,2022-12-27 21:03:13.772,Macombs Pl & W 152 St,8029.28,Lenox Ave & W 130 St,7753.13,40.826406,-73.937948,40.8107922,-73.9430681,member,2022-12-27,-0.7,16.779483333333335,8341,12,winter
7394064,03C61404805FBE76,classic_bike,2022-12-28 21:17:09.129,2022-12-28 21:33:11.945,Lexington Ave & Classon Ave,4452.03,Kent Ave & N 7 St,5489.03,40.68676793,-73.95928168,40.72036775298455,-73.96165072917938,member,2022-12-28,3.4,16.046933333333335,11007,12,winter
7405071,F4FC8BA00F9C7416,classic_bike,2022-12-29 07:13:42.345,2022-12-29 07:28:57.997,8 Ave & W 31 St,6450.05,Grand St & Greene St,5500.02,40.7505853470215,-73.9946848154068,40.72170005235607,-74.00238141417502,member,2022-12-29,6.4,15.260866666666669,13135,12,winter
7418206,A470CFD743E2C01F,classic_bike,2022-12-30 08:20:19.185,2022-12-30 08:26:37.961,E 47 St & 2 Ave,6498.1,Grand Army Plaza & Central Park S,6839.10,40.75323098,-73.97032517,40.7643971,-73.97371465,member,2022-12-30,9.3,6.3129333333333335,15444,12,winter
7433650,7CB7E61D21B38646,electric_bike,2022-12-31 16:35:13.563,2022-12-31 16:49:34.884,Pulaski St & Marcus Garvey Blvd,4656.03,Bergen St & Vanderbilt Ave,4157.10,40.6933982,-73.939877,40.6794388,-73.9680438,casual,2022-12-31,8.2,14.35535,7858,12,winter
